32926;21122022 13:12;7;1001;1;1;0.0000;1;9370.0000;None
32926;21122022 13:12;7;1001;1;1;0.0000;1;9370.0000;None
20346;21122022 12:40;7;1002;1;1;0.0000;1;7704.0000;None
20348;21122022 12:59;7;1002;1;1;0.0000;1;38241.0000;None
15475;21122022 15:04;7;1002;1;1;0.0000;1;14602.0000;None
20366;21122022 17:08;7;1002;1;1;0.0000;1;9759.0000;None
20378;21122022 20:10;7;1002;1;1;0.0000;1;5704.0000;None
20374;21122022 18:52;7;1006;1;1;0.0000;1;15037.0000;None
15476;21122022 14:06;7;1006;1;1;0.0000;1;14241.0000;None
20368;21122022 17:59;7;1006;1;1;0.0000;1;52797.0000;None
15475;21122022 15:04;7;1006;1;1;0.0000;1;14602.0000;None
15472;21122022 15:08;7;1006;1;1;None;1;21296.0000;None
15468;21122022 15:07;7;1006;1;1;None;1;29370.0000;None
15468;21122022 15:07;7;1006;1;1;None;1;29370.0000;None
20352;21122022 16:22;7;1006;1;-1;0.0000;1;89649.0000;None
20352;21122022 16:22;7;1006;1;-1;0.0000;1;89649.0000;None
20352;21122022 12:43;7;1006;1;1;0.0000;1;89649.0000;None
20352;21122022 12:43;7;1006;1;1;0.0000;1;89649.0000;None
20347;21122022 12:53;7;1006;1;1;0.0000;1;9556.0000;None
20342;21122022 12:19;7;1006;1;1;0.0000;1;6074.0000;None
32926;21122022 13:12;7;1006;1;1;0.0000;1;9370.0000;None
20352;21122022 13:53;7;1006;1;1;0.0000;1;89649.0000;None
15462;21122022 13:08;7;1006;1;1;0.0000;1;20167.0000;None
32926;21122022 13:12;7;1029;1;1;0.0000;1;9370.0000;None
32926;21122022 13:12;7;1029;1;1;0.0000;1;9370.0000;None
32926;21122022 13:12;7;1029;1;1;0.0000;1;9370.0000;None
15462;21122022 13:08;7;1135;1;1;0.0000;1;20167.0000;None
1889;21122022 12:45;7;1135;1;1;0.0000;1;8889.0000;None
15460;21122022 13:29;7;1135;1;1;0.0000;1;None;None
15460;21122022 13:29;7;1135;1;1;0.0000;1;None;None
15460;21122022 12:39;7;1135;1;1;0.0000;1;None;None
32931;21122022 14:02;7;1135;1;1;0.0000;1;6519.0000;None
1895;21122022 14:07;7;1135;1;1;0.0000;1;None;None
15468;21122022 15:07;7;1135;1;1;None;1;29370.0000;None
20361;21122022 14:31;7;1135;1;1;0.0000;1;3222.0000;None
15471;21122022 13:42;7;1135;1;1;0.0000;1;6722.0000;None
15473;21122022 15:01;7;1135;1;1;0.0000;1;10426.0000;None
15473;21122022 15:01;7;1135;1;1;0.0000;1;10426.0000;None
15468;21122022 14:32;7;1207;1;1;0.0000;1;29370.0000;None
20360;21122022 14:26;7;1207;1;1;0.0000;1;3944.0000;None
20357;21122022 14:01;7;1207;1;1;0.0000;1;6944.0000;None
20368;21122022 20:34;7;1207;1;1;0.0000;1;52797.0000;None
32933;21122022 17:27;7;1207;1;1;0.0000;1;2667.0000;None
20366;21122022 16:58;7;1207;1;1;0.0000;1;9759.0000;None
20382;21122022 21:00;7;1207;1;1;0.0000;1;30167.0000;None
15460;21122022 12:20;7;1207;1;2;0.0000;1;None;None
15460;21122022 12:27;7;1207;1;1;0.0000;1;None;None
20346;21122022 12:52;7;1207;1;1;0.0000;1;7704.0000;None
20344;21122022 12:29;7;1207;1;1;None;1;5222.0000;None
20344;21122022 12:37;7;1207;1;-1;0.0000;1;5222.0000;None
20340;21122022 12:04;7;1207;1;1;0.0000;1;9352.0000;None
20372;21122022 18:38;7;1216;1;1;0.0000;1;9482.0000;None
15460;21122022 12:39;7;1302;1;1;0.0000;1;None;None
20382;21122022 21:20;7;1303;1;1;0.0000;1;30167.0000;None
20382;21122022 21:20;7;1303;1;1;0.0000;1;30167.0000;None
20344;21122022 12:29;7;1305;1;1;0.0000;1;5222.0000;None
20344;21122022 12:29;7;1305;1;1;0.0000;1;5222.0000;None
15462;21122022 13:08;7;1305;1;1;0.0000;1;20167.0000;None
15462;21122022 13:08;7;1305;1;1;0.0000;1;20167.0000;None
15462;21122022 13:08;7;1305;1;1;0.0000;1;20167.0000;None
20352;21122022 16:02;7;1305;1;1;0.0000;1;89649.0000;None
20348;21122022 12:59;7;1306;1;1;0.0000;1;38241.0000;None
20347;21122022 12:53;7;1306;1;1;0.0000;1;9556.0000;None
20374;21122022 18:52;7;1306;1;1;0.0000;1;15037.0000;None
15476;21122022 14:06;7;1306;1;1;0.0000;1;14241.0000;None
15476;21122022 14:06;7;1306;1;1;0.0000;1;14241.0000;None
15468;21122022 15:07;7;1306;1;1;None;1;29370.0000;None
32926;21122022 13:34;7;1310;1;1;0.0000;1;9370.0000;None
32926;21122022 13:34;7;1311;1;1;0.0000;1;9370.0000;None
20361;21122022 14:39;7;1311;1;1;0.0000;1;3222.0000;None
20361;21122022 14:39;7;1311;1;1;0.0000;1;3222.0000;None
20351;21122022 13:34;7;1351;3;1;0.0000;1;8352.0000;None
20339;21122022 12:01;7;1351;3;1;0.0000;1;9537.0000;None
20338;21122022 11:59;7;2008;1;3;0.0000;1;13139.0000;None
20368;21122022 18:29;7;2008;1;2;0.0000;1;52797.0000;None
20386;21122022 23:53;7;2008;1;2;0.0000;1;31333.0000;None
20372;21122022 18:20;7;2009;1;1;0.0000;1;9482.0000;None
20372;21122022 18:20;7;2009;1;1;0.0000;1;9482.0000;None
20375;21122022 18:52;7;2009;1;1;0.0000;1;4167.0000;None
20375;21122022 18:57;7;2009;1;1;0.0000;1;4167.0000;None
20375;21122022 20:41;7;2009;1;1;0.0000;1;4167.0000;None
