19075;16/11/22;1;103450;7;1;39800.0000
19075;16/11/22;9;802020;1;1;3980.0000
19075;16/11/22;None;2;None;1;43780.0000
19076;16/11/22;8;102692;4;1;31800.0000
19076;16/11/22;8;103018;4;1;36800.0000
19076;16/11/22;8;103746;4;1;34800.0000
19076;16/11/22;9;802020;1;1;10000.0000
19076;16/11/22;None;2;None;1;113400.0000
32241;16/11/22;1;101244;7;1;28800.0000
32241;16/11/22;1;102227;7;1;6800.0000
32241;16/11/22;1;103198;7;1;49800.0000
32241;16/11/22;1;103552;7;1;38800.0000
32241;16/11/22;1;101519;7;1;0.0000
32241;16/11/22;9;802020;1;1;10000.0000
32241;16/11/22;None;2;None;1;134200.0000
32242;16/11/22;1;101244;7;1;28800.0000
32242;16/11/22;6;101624;7;1;0.0000
32242;16/11/22;1;102058;7;1;49800.0000
32242;16/11/22;1;102065;7;1;29800.0000
32242;16/11/22;1;102066;7;1;24800.0000
32242;16/11/22;1;103472;7;1;42800.0000
32242;16/11/22;1;105603;7;1;2800.0000
32242;16/11/22;1;105603;7;1;2800.0000
32242;16/11/22;1;103788;7;1;35800.0000
32242;16/11/22;9;802020;1;1;10000.0000
32242;16/11/22;None;2;None;1;227400.0000
19079;16/11/22;1;103429;7;1;47800.0000
19079;16/11/22;1;103452;7;1;31800.0000
19079;16/11/22;9;802020;1;1;7960.0000
19079;16/11/22;None;2;None;1;87560.0000
19078;16/11/22;7;1135;7;1;0.0000
19078;16/11/22;1;101122;7;1;34800.0000
19078;16/11/22;6;101525;7;1;0.0000
19078;16/11/22;6;101525;7;1;0.0000
19078;16/11/22;6;101525;7;1;0.0000
19078;16/11/22;1;101547;7;3;17400.0000
19078;16/11/22;1;103134;7;1;29800.0000
19078;16/11/22;1;103134;7;1;29800.0000
19078;16/11/22;1;103134;7;1;29800.0000
19078;16/11/22;1;103536;4;1;38800.0000
19078;16/11/22;1;106440;7;1;51800.0000
19078;16/11/22;1;101573;7;1;0.0000
19078;16/11/22;9;802020;1;1;10000.0000
19078;16/11/22;None;2;None;1;242200.0000
