18959;14/11/22;1;100842;5;1;24800.0000
18959;14/11/22;9;802020;1;1;3500.0000
18959;14/11/22;None;5;None;1;28300.0000
18961;14/11/22;1;100995;5;1;10800.0000
18961;14/11/22;1;101181;5;1;26800.0000
18961;14/11/22;3;102635;5;1;7800.0000
18961;14/11/22;3;102635;5;2;15600.0000
18961;14/11/22;1;102675;5;2;55600.0000
18961;14/11/22;1;108824;5;1;13800.0000
18961;14/11/22;1;108824;5;1;13800.0000
18961;14/11/22;9;802020;1;1;10000.0000
18961;14/11/22;None;5;None;1;154200.0000
18960;14/11/22;7;1135;5;1;0.0000
18960;14/11/22;1;102554;5;2;17600.0000
18960;14/11/22;1;103251;8;1;23800.0000
18960;14/11/22;1;104013;5;1;18800.0000
18960;14/11/22;1;108005;8;1;0.0000
18960;14/11/22;9;802020;1;1;7020.0000
18960;14/11/22;None;2;None;1;67220.0000
18962;14/11/22;3;102635;5;2;15600.0000
18962;14/11/22;1;102670;5;1;34800.0000
18962;14/11/22;9;802020;1;1;5040.0000
18962;14/11/22;None;2;None;1;55440.0000
18964;14/11/22;7;1135;5;1;0.0000
18964;14/11/22;1;102671;5;1;37800.0000
18964;14/11/22;9;802020;1;1;3780.0000
18964;14/11/22;None;2;None;1;41580.0000
18963;14/11/22;1;102238;5;1;2500.0000
18963;14/11/22;1;102680;5;1;35800.0000
18963;14/11/22;3;201237;1;1;5800.0000
18963;14/11/22;3;201420;10;1;5800.0000
18963;14/11/22;9;802020;1;1;4990.0000
18963;14/11/22;None;2;None;1;54890.0000
18968;14/11/22;8;100953;4;1;41800.0000
18968;14/11/22;1;102670;5;2;69600.0000
18968;14/11/22;1;106881;6;1;24800.0000
18968;14/11/22;9;802020;1;1;10000.0000
18968;14/11/22;None;5;None;1;146200.0000
18966;14/11/22;1;100850;5;1;21800.0000
18966;14/11/22;1;102227;5;1;1200.0000
18966;14/11/22;1;102286;5;2;3000.0000
18966;14/11/22;1;102315;5;1;1800.0000
18966;14/11/22;1;102670;5;3;104400.0000
18966;14/11/22;9;802020;1;1;10000.0000
18966;14/11/22;None;2;None;1;142200.0000
18969;14/11/22;1;102670;5;2;69600.0000
18969;14/11/22;1;102670;5;1;34800.0000
18969;14/11/22;9;802020;1;1;10000.0000
18969;14/11/22;None;2;None;1;114400.0000
18971;14/11/22;7;1135;5;1;0.0000
18971;14/11/22;1;101295;5;1;12800.0000
18971;14/11/22;1;104013;5;1;18800.0000
